B,Dend (conv),Endo,Epi (alv.II),Epi (basal),Epi (ciliated),Epi (diff.ciliated),Epi (KRT5-/KRT17+),Epi (MUC5AC+high),Epi (MUC5B+),Epi (SCGB3A2+),Epi (SCGB1A1+),Epi (trans.alv.II),Plasma,Endo (lympha),Macro,Mast,Mesen (Fibro),Mesen (HAS1+),Mesen (Meso),Mesen (myoFB),Mesen (PLIN2+),Mesen (SMC),Mono,NK,Dend (plas),Epi (prolif),Macro (prolif),T (prolif),T
13,203,594,380,66,283,43,56,1,109,134,25,82,31,64,3286,6,83,0,0,300,3,63,256,74,19,18,279,21,293
0,21,100,17,41,141,11,6,0,3,11,9,2,14,4,206,0,19,0,7,67,3,39,1,0,0,2,14,1,11
4,153,288,500,36,26,5,26,0,55,108,27,22,2,4,1823,36,3,0,15,45,3,27,671,7,3,4,53,2,46
41,63,167,99,15,186,8,7,1,30,17,33,8,2,6,322,1,0,0,5,4,0,4,79,593,2,3,24,18,386
8,6,94,111,32,252,9,2,0,9,19,43,1,15,1,380,11,1,0,3,26,39,29,9,0,2,1,9,0,4
7,161,229,36,29,89,7,15,0,41,61,17,5,132,7,2121,12,40,0,4,117,4,32,18,0,8,6,78,20,14
24,85,274,415,84,4289,296,11,22,456,663,146,12,9,3,971,16,11,0,49,20,8,13,108,124,25,35,22,6,206
1,43,50,2,27,106,3,0,1,15,46,30,0,0,4,431,15,7,179,1,53,830,34,243,0,0,0,4,1,2
9,154,1410,1861,551,1269,261,77,14,578,641,58,500,7,478,5372,0,38,0,32,324,250,290,40,71,8,102,497,7,243
152,83,468,23,48,120,1,14,0,32,207,31,6,56,23,2420,75,29,0,27,94,7,28,1040,27,54,3,18,48,1254
1,42,89,32,153,122,12,0,0,32,154,31,7,3,3,741,8,8,0,0,47,2,44,4,0,0,8,33,0,2
72,140,99,72,287,623,69,4,24,372,371,48,20,7,11,801,13,1,0,1,7,0,6,12,9,5,39,46,2,27
9,20,17,429,14,278,27,127,0,59,26,197,3,4,9,135,2,2,0,0,7,0,1,20,4,2,3,6,4,14
196,145,404,68,101,312,13,7,1,53,180,51,1,27,14,1748,142,13,0,15,104,27,72,408,20,3,3,25,10,142
27,119,190,173,444,4210,350,110,12,259,439,161,18,2,25,1011,65,2,0,0,10,0,14,100,107,0,19,51,16,529
246,342,108,372,11,131,6,1,4,37,4,44,15,18,1,2993,7,1,0,4,4,1,6,224,344,13,3,184,8,381
2,10,48,0,4,22,0,0,0,0,0,1,0,5,1,218,0,2,0,0,5,0,47,6,0,0,1,2,1,1
6,20,661,102,1,72,12,7,0,1,13,209,8,3,71,29,5,10,0,27,23,4,71,55,189,11,2,1,20,176
10,45,707,50,1,32,1,0,0,16,4,11,2,1,8,4477,10,7,0,0,41,0,86,100,52,0,0,98,1,40
1,22,62,1230,2,8,0,0,0,3,2,1,38,4,8,292,6,4,0,1,2,3,1,437,28,0,47,3,4,9
2,1,448,40,1,294,16,0,3,22,4,12,14,0,9,538,4,5,0,0,1,0,2,13,67,0,0,11,0,2
33,19,49,544,1,892,67,12,5,26,40,114,110,5,143,169,14,57,0,0,56,0,2,34,131,8,6,11,13,241
0,2,0,98,3,47,17,0,0,36,1,3,1,3,0,1923,12,0,0,2,0,0,0,12,0,0,2,11,2,20
25,9,93,7,0,14,0,0,0,0,2,3,2,0,5,20,0,2,0,0,5,0,8,89,40,0,2,0,0,474
3,2,314,342,7,449,79,1,12,116,8,34,55,2,15,791,5,19,0,6,36,2,15,39,121,0,6,39,4,30
